Date,Open,High,Low,Close,Adj Close,Volume
2017-07-10,11744.240234,11918.169922,11684.750000,11897.309570,11897.309570,15081810000
2017-07-17,11894.690430,11963.549805,11843.820313,11924.599609,11924.599609,15057410000
2017-07-24,11918.530273,11985.799805,11891.660156,11954.690430,11954.690430,17965610000
2017-07-31,11976.209961,12012.650391,11938.900391,11984.889648,11984.889648,17288810000
2017-08-07,11983.719727,12019.849609,11753.299805,11763.219727,11763.219727,16365480000
2017-08-14,11820.179688,11891.040039,11670.879883,11699.830078,11699.830078,15247600000
2017-08-21,11700.110352,11845.500000,11678.209961,11812.030273,11812.030273,13786300000
2017-08-28,11831.019531,11934.969727,11728.980469,11918.080078,11918.080078,14107780000
2017-09-04,11894.929688,11902.440430,11783.870117,11887.980469,11887.980469,13521090000
2017-09-11,11943.469727,12080.679688,11943.469727,12080.139648,12080.139648,18158360000
2017-09-18,12094.830078,12158.980469,12091.730469,12151.799805,12151.799805,15770230000
2017-09-25,12144.070313,12209.450195,12108.009766,12209.160156,12209.160156,16177570000
2017-10-02,12209.160156,12351.139648,12200.129883,12317.690430,12317.690430,15215390000
2017-10-09,12328.190430,12377.889648,12281.169922,12352.000000,12352.000000,14721510000
2017-10-16,12365.990234,12430.650391,12322.129883,12430.519531,12430.519531,15178860000
2017-10-23,12436.759766,12443.799805,12280.309570,12366.429688,12366.429688,18269710000
2017-10-30,12349.360352,12414.599609,12308.839844,12373.059570,12373.059570,18915260000
2017-11-06,12373.070313,12415.959961,12268.070313,12322.599609,12322.599609,18566610000
2017-11-13,12281.190430,12328.160156,12178.889648,12302.889648,12302.889648,17216450000
2017-11-20,12306.660156,12431.690430,12294.959961,12421.929688,12421.929688,10448990000
2017-11-27,12421.309570,12673.700195,12390.299805,12614.559570,12614.559570,19454370000
2017-12-04,12685.780273,12724.500000,12512.030273,12643.059570,12643.059570,17189740000
2017-12-11,12653.099609,12739.799805,12629.070313,12699.679688,12699.679688,19343950000
2017-12-18,12760.530273,12826.030273,12741.870117,12797.440430,12797.440430,16007500000
2017-12-25,12794.129883,12886.110352,12794.129883,12808.839844,12808.839844,8767680000
2018-01-01,12860.929688,13104.519531,12842.269531,13103.230469,13103.230469,13827790000
2018-01-08,13096.650391,13299.190430,13065.240234,13294.320313,13294.320313,17487770000
2018-01-15,13343.820313,13384.459961,13215.259766,13384.459961,13384.459961,15424920000
2018-01-22,13388.320313,13637.019531,13381.330078,13637.019531,13637.019531,18283880000
2018-01-29,13592.799805,13605.910156,13075.879883,13085.349609,13085.349609,20065340000
2018-02-05,12974.190430,13050.160156,12048.660156,12405.820313,12405.820313,26787200000
2018-02-12,12496.349609,12961.120117,12416.910156,12874.360352,12874.360352,18854770000
2018-02-19,12817.139648,12896.929688,12687.240234,12884.110352,12884.110352,14297470000
